model,n,strict_grounded_rate,evidence_anchored_rate
Llama 3.1 8B,50,0.92,0.92
Llama 3.1 8B,62,0.903226,0.903226
Llama 3.1 8B,100,0.9,0.9
Llama 3.1 8B,306,0.872549,0.908163
Llama 3.1 8B,376,0.909574,0.914439
Llama 3.1 8B,700,0.908571,0.925764
Mistral 7B,62,0.564516,0.57377
Mistral 7B,100,0.64,0.64
Mistral 7B,306,0.588235,0.592105
Mistral 7B,376,0.632979,0.632979
Mistral 7B,700,0.594286,0.595989
Qwen 2.5 7B,50,0.82,0.854167
Qwen 2.5 7B,62,0.758065,0.824561
Qwen 2.5 7B,200,0.835,0.888298
Qwen 2.5 7B,306,0.810458,0.921933
Qwen 2.5 7B,376,0.853723,0.904225
Qwen 2.5 7B,700,0.815714,0.916533
