model,metric,n,events,rate,ci_lower,ci_upper,bootstrap_reps,random_seed,resampling_unit,ci_width,ci_95_str
Llama 3.1 8B,quote_anchored,700,636,0.9085714285714286,0.8871428571428571,0.93,10000,20260530,PMID/document,0.0429,0.909 [0.887–0.930]
Llama 3.1 8B,strict_grounded,700,633,0.9042857142857142,0.8814285714285715,0.9257142857142856,10000,20260530,PMID/document,0.0443,0.904 [0.881–0.926]
Llama 3.1 8B,keep_or_revise,700,593,0.8471428571428572,0.82,0.8728571428571429,10000,20260530,PMID/document,0.0529,0.847 [0.820–0.873]
Llama 3.1 8B,overclaim,700,8,0.0114285714285714,0.0042857142857142,0.02,10000,20260530,PMID/document,0.0157,0.011 [0.004–0.020]
Qwen 2.5 7B,quote_anchored,700,571,0.8157142857142857,0.7871428571428571,0.8428571428571429,10000,20260530,PMID/document,0.0557,0.816 [0.787–0.843]
Qwen 2.5 7B,strict_grounded,700,570,0.8142857142857143,0.7857142857142857,0.8428571428571429,10000,20260530,PMID/document,0.0571,0.814 [0.786–0.843]
Qwen 2.5 7B,keep_or_revise,700,615,0.8785714285714286,0.8542857142857143,0.9014285714285716,10000,20260530,PMID/document,0.0471,0.879 [0.854–0.901]
Qwen 2.5 7B,overclaim,700,6,0.0085714285714285,0.0028571428571428,0.0157142857142857,10000,20260530,PMID/document,0.0129,0.009 [0.003–0.016]
Mistral 7B,quote_anchored,700,416,0.5942857142857143,0.5571428571428572,0.63,10000,20260530,PMID/document,0.0729,0.594 [0.557–0.630]
Mistral 7B,strict_grounded,700,416,0.5942857142857143,0.5571428571428572,0.63,10000,20260530,PMID/document,0.0729,0.594 [0.557–0.630]
Mistral 7B,keep_or_revise,700,588,0.84,0.8128571428571428,0.8671428571428571,10000,20260530,PMID/document,0.0543,0.840 [0.813–0.867]
Mistral 7B,overclaim,700,5,0.0071428571428571,0.0014285714285714,0.0142857142857142,10000,20260530,PMID/document,0.0129,0.007 [0.001–0.014]
